Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
22-Sep-06,1318.03,1318.03,1310.94,1314.78,1314.78,"2,162,880,000",-11.59
21-Sep-06,1324.89,1328.19,1315.45,1318.03,1318.03,"2,627,440,000",3.25
20-Sep-06,1318.28,1328.53,1318.28,1325.18,1325.18,"2,543,070,000",7.15
19-Sep-06,1321.17,1322.04,1312.17,1317.64,1317.64,"2,390,850,000",-7.54
18-Sep-06,1319.85,1324.87,1318.16,1321.18,1321.18,"2,325,080,000",3.54
15-Sep-06,1316.28,1324.65,1316.28,1319.66,1319.66,"3,198,030,000",-1.52
14-Sep-06,1318,1318,1313.25,1316.28,1316.28,"2,351,220,000",-3.38
13-Sep-06,1312.74,1319.92,1311.12,1318.07,1318.07,"2,597,220,000",1.79
12-Sep-06,1299.53,1314.28,1299.53,1313,1313,"2,791,580,000",-5.07
11-Sep-06,1298.86,1302.36,1290.93,1299.54,1299.54,"2,506,430,000",-13.46
8-Sep-06,1294.02,1300.14,1294.02,1298.92,1298.92,"2,132,890,000",-0.62
7-Sep-06,1300.21,1301.25,1292.13,1294.02,1294.02,"2,325,850,000",-4.9
6-Sep-06,1313.04,1313.04,1299.28,1300.26,1300.26,"2,329,870,000",6.24
5-Sep-06,1310.94,1314.67,1308.82,1313.25,1313.25,"2,114,480,000",12.99
1-Sep-06,1303.8,1312.03,1303.8,1311.01,1311.01,"1,800,520,000",-2.24
31-Aug-06,1304.25,1306.11,1302.45,1303.82,1303.82,"1,974,540,000",-7.19
30-Aug-06,1303.7,1306.74,1302.15,1305.37,1305.37,"2,060,690,000",1.55
29-Aug-06,1301.57,1305.02,1295.29,1304.28,1304.28,"2,093,720,000",-1.09
28-Aug-06,1295.09,1305.02,1293.97,1301.78,1301.78,"1,834,920,000",-2.5
25-Aug-06,1295.92,1298.88,1292.39,1295.09,1295.09,"1,667,580,000",-6.69
24-Aug-06,1292.97,1297.23,1291.4,1296.06,1296.06,"1,930,320,000",0.97
23-Aug-06,1298.73,1301.5,1289.82,1292.99,1292.99,"1,893,670,000",-3.07
22-Aug-06,1297.52,1302.49,1294.44,1298.82,1298.82,"1,908,740,000",5.83
21-Aug-06,1302.3,1302.3,1295.51,1297.52,1297.52,"1,759,240,000",-1.3
18-Aug-06,1297.48,1302.3,1293.57,1302.3,1302.3,"2,033,910,000",4.78
17-Aug-06,1295.37,1300.78,1292.71,1297.48,1297.48,"2,458,340,000",-4.82
16-Aug-06,1285.27,1296.21,1285.27,1295.43,1295.43,"2,554,570,000",-2.05
15-Aug-06,1268.19,1286.23,1268.19,1285.58,1285.58,"2,334,100,000",-9.85
14-Aug-06,1266.67,1278.9,1266.67,1268.21,1268.21,"2,118,020,000",-17.37
11-Aug-06,1271.64,1271.64,1262.08,1266.74,1266.74,"2,004,540,000",-1.47
10-Aug-06,1265.72,1272.55,1261.3,1271.81,1271.81,"2,402,190,000",5.07
9-Aug-06,1271.13,1283.74,1264.73,1265.95,1265.95,"2,555,180,000",-5.86
8-Aug-06,1275.67,1282.75,1268.37,1271.48,1271.48,"2,457,840,000",5.53
7-Aug-06,1279.31,1279.31,1273,1275.77,1275.77,"2,045,660,000",4.29
4-Aug-06,1280.26,1292.92,1273.82,1279.36,1279.36,"2,530,970,000",3.59
3-Aug-06,1278.22,1283.96,1271.25,1280.27,1280.27,"2,728,440,000",0.91
2-Aug-06,1270.73,1283.42,1270.73,1277.41,1277.41,"2,610,750,000",-2.86
1-Aug-06,1278.53,1278.66,1265.71,1270.92,1270.92,"2,527,690,000",-6.49
31-Jul-06,1278.53,1278.66,1274.31,1276.66,1276.66,"2,461,300,000",5.74
28-Jul-06,1263.15,1280.42,1263.15,1278.55,1278.55,"2,480,420,000",1.89
27-Jul-06,1268.2,1275.85,1261.92,1263.2,1263.2,"2,776,710,000",-15.35
26-Jul-06,1268.87,1273.89,1261.94,1268.4,1268.4,"2,667,710,000",5.2
25-Jul-06,1260.91,1272.39,1257.19,1268.88,1268.88,"2,563,930,000",0.48
24-Jul-06,1240.25,1262.5,1240.25,1260.91,1260.91,"2,312,720,000",-7.97
21-Jul-06,1249.12,1250.96,1238.72,1240.29,1240.29,"2,704,090,000",-20.62
20-Jul-06,1259.81,1262.56,1249.13,1249.13,1249.13,"2,345,580,000",8.84
19-Jul-06,1236.74,1261.81,1236.74,1259.81,1259.81,"2,701,980,000",10.68
18-Jul-06,1234.48,1239.86,1224.54,1236.86,1236.86,"2,481,750,000",-22.95
17-Jul-06,1236.2,1240.07,1231.49,1234.49,1234.49,"2,146,410,000",-2.37
14-Jul-06,1242.29,1242.7,1228.45,1236.2,1236.2,"2,467,120,000",1.71
13-Jul-06,1258.58,1258.58,1241.43,1242.28,1242.28,"2,545,760,000",6.08
12-Jul-06,1272.39,1273.31,1257.29,1258.6,1258.6,"2,250,450,000",16.32
11-Jul-06,1267.26,1273.64,1259.65,1272.43,1272.43,"2,310,850,000",13.83
10-Jul-06,1265.46,1274.06,1264.46,1267.34,1267.34,"1,854,590,000",-5.09
7-Jul-06,1274.08,1275.38,1263.13,1265.48,1265.48,"1,988,150,000",-1.86
6-Jul-06,1270.58,1278.32,1270.58,1274.08,1274.08,"2,009,160,000",8.6
5-Jul-06,1280.05,1280.05,1265.91,1270.91,1270.91,"2,165,070,000",-3.17
3-Jul-06,1270.06,1280.38,1270.06,1280.19,1280.19,"1,114,470,000",9.28
30-Jun-06,1272.86,1276.3,1270.2,1270.2,1270.2,"3,049,560,000",-9.99
29-Jun-06,1245.94,1272.88,1245.94,1272.87,1272.87,"2,621,250,000",2.67
28-Jun-06,1238.99,1247.06,1237.59,1246,1246,"2,085,490,000",-26.87
27-Jun-06,1250.55,1253.37,1238.94,1239.2,1239.2,"2,203,130,000",-6.8
26-Jun-06,1244.5,1250.92,1243.68,1250.56,1250.56,"1,878,580,000",11.36
23-Jun-06,1245.59,1253.13,1241.43,1244.5,1244.5,"2,017,270,000",-6.06
22-Jun-06,1251.92,1251.92,1241.53,1245.6,1245.6,"2,148,180,000",1.1
21-Jun-06,1240.09,1257.96,1240.09,1252.2,1252.2,"2,361,230,000",6.6
20-Jun-06,1240.12,1249.01,1238.87,1240.12,1240.12,"2,232,950,000",-12.08
19-Jun-06,1251.54,1255.93,1237.17,1240.13,1240.13,"2,517,200,000",0.01
16-Jun-06,1256.16,1256.27,1246.33,1251.54,1251.54,"2,783,390,000",11.41
15-Jun-06,1230.01,1258.64,1230.01,1256.16,1256.16,"2,775,480,000",4.62
14-Jun-06,1223.66,1231.46,1219.29,1230.04,1230.04,"2,667,990,000",-26.12
13-Jun-06,1236.08,1243.37,1222.52,1223.69,1223.69,"3,215,770,000",-6.35
12-Jun-06,1252.27,1255.22,1236.43,1237.44,1237.44,"2,247,010,000",13.75
9-Jun-06,1257.93,1262.58,1250.03,1252.3,1252.3,"2,214,000,000",14.86
8-Jun-06,1256.08,1259.85,1235.18,1257.93,1257.93,"3,543,790,000",5.63
7-Jun-06,1263.61,1272.47,1255.77,1256.15,1256.15,"2,644,170,000",-1.78
6-Jun-06,1265.23,1269.88,1254.46,1263.85,1263.85,"2,697,650,000",7.7
5-Jun-06,1288.16,1288.16,1264.66,1265.29,1265.29,"2,313,470,000",1.44
2-Jun-06,1285.71,1290.68,1280.22,1288.22,1288.22,"2,295,540,000",22.93
1-Jun-06,1270.05,1285.71,1269.19,1285.71,1285.71,"2,360,160,000",-2.51
31-May-06,1259.38,1270.09,1259.38,1270.09,1270.09,"2,692,160,000",-15.62
30-May-06,1280.04,1280.04,1259.87,1259.87,1259.87,"2,176,190,000",-10.22
26-May-06,1272.71,1280.54,1272.5,1280.16,1280.16,"1,814,020,000",20.29
25-May-06,1258.41,1273.26,1258.41,1272.88,1272.88,"2,372,730,000",-7.28
24-May-06,1256.56,1264.53,1245.34,1258.57,1258.57,"2,999,030,000",-14.31
23-May-06,1262.06,1273.67,1256.15,1256.58,1256.58,"2,605,250,000",-1.99
22-May-06,1267.03,1268.77,1252.98,1262.07,1262.07,"2,773,010,000",5.49
19-May-06,1261.81,1272.15,1256.28,1267.03,1267.03,"2,982,300,000",4.96
18-May-06,1270.25,1274.89,1261.75,1261.81,1261.81,"2,537,490,000",-5.22
17-May-06,1291.73,1291.73,1267.31,1270.32,1270.32,"2,830,200,000",8.51
16-May-06,1294.5,1297.88,1288.51,1292.08,1292.08,"2,386,210,000",21.76
15-May-06,1291.19,1294.81,1284.51,1294.5,1294.5,"2,505,660,000",2.42
12-May-06,1305.88,1305.88,1290.38,1291.24,1291.24,"2,567,970,000",-3.26
11-May-06,1322.63,1322.63,1303.45,1305.92,1305.92,"2,531,520,000",14.68
10-May-06,1324.57,1325.51,1317.44,1322.85,1322.85,"2,268,550,000",16.93
9-May-06,1324.66,1326.6,1322.48,1325.14,1325.14,"2,157,290,000",2.29
8-May-06,1325.76,1326.7,1322.87,1324.66,1324.66,"2,151,300,000",-0.48
5-May-06,1312.25,1326.53,1312.25,1325.76,1325.76,"2,294,760,000",1.1
4-May-06,1307.85,1315.14,1307.85,1312.25,1312.25,"2,431,450,000",-13.51
3-May-06,1313.21,1313.47,1303.92,1308.12,1308.12,"2,395,230,000",-4.13
